Objects ID,Player ID,InitialWidth,InitialHeight,InitialDepth,Eye Level,Pedestal Height,Center Height (Pedestal Height+1/2Height),Distance to Surface (Distance-1/2depth),Scaled Height
A6,14,3.81,17.1,7.99,140,101,109.55,83.005,20
A6,15,3.81,17.1,7.99,139,118,126.55,92.005,31
A6,16,3.81,17.1,7.99,130,113,121.55,93.005,31
A6,17,3.81,17.1,7.99,134,117,125.55,94.005,24
A6,18,3.81,17.1,7.99,152,142,150.55,46.005,41
A6,19,3.81,17.1,7.99,103,87,95.55,62.005,24
A6,20,3.81,17.1,7.99,108,96,104.55,102.005,48
A1,1,3.8,4.4,3.8,116,96,98.2,73.1,19
A1,2,3.8,4.4,3.8,126,121,123.2,38.1,36
A1,3,3.8,4.4,3.8,145,133,135.2,42.1,13
A1,4,3.8,4.4,3.8,145,44,46.2,131.1,13
A1,5,3.8,4.4,3.8,141,120,122.2,92.1,41
A1,6,3.8,4.4,3.8,141,129,131.2,52.1,39
A1,7,3.8,4.4,3.8,131,116,118.2,51.1,31
A1,8,3.8,4.4,3.8,145,132,134.2,35.1,45
A1,9,3.8,4.4,3.8,136,110,112.2,42.1,15
A1,10,3.8,4.4,3.8,145,123,125.2,59.1,26
A1,11,3.8,4.4,3.8,142,117,119.2,108.1,14
A1,12,3.8,4.4,3.8,131,116,118.2,51.1,24
A1,13,3.8,4.4,3.8,130,101,103.2,55.1,29
A1,14,3.8,4.4,3.8,141,110,112.2,108.1,15
A1,15,3.8,4.4,3.8,140,124,126.2,100.1,9
A1,16,3.8,4.4,3.8,132,126,128.2,60.1,20
A1,17,3.8,4.4,3.8,137,125,127.2,98.1,22
A1,18,3.8,4.4,3.8,152,134,136.2,54.1,34
A1,19,3.8,4.4,3.8,102,92,94.2,56.1,13
A1,20,3.8,4.4,3.8,108,60,62.2,394.1,32
A5,1,15,16,17,116,99,107,59.5,30
A5,2,15,16,17,114,100,108,64.5,74
A5,3,15,16,17,146,129,137,42.5,21
A5,4,15,16,17,146,129,137,42.5,21
A5,5,15,16,17,142,115,123,110.5,19
A5,6,15,16,17,139,113,121,40.5,19
A5,7,15,16,17,135,119,127,50.5,37
A5,8,15,16,17,147,128,136,56.5,40
A5,9,15,16,17,135,102,110,50.5,19
