Objects ID,Player ID,InitialWidth,InitialHeight,InitialDepth,Eye Height,Desk Height,Center Height,,G,realDIS,,Distance to Surface,Width,Height,Depth,Shape,Texture,Volume,VolimeAfter,Multiple,,,,
A13,8,28.9,28.9,0.32,149,130,144.45,4.55,81,6581.7025,81.12769256,80.84,33,33,0.365397924,1,1,267.2672,397.9183391,1.488840902,158.9,,,158.9
A13,9,28.9,28.9,0.32,140,99,113.45,26.55,60,4304.9025,65.61175581,59.84,22,22,0.243598616,,,267.2672,117.9017301,,,,,
A13,10,28.9,28.9,0.32,146,115,129.45,16.55,62,4117.9025,64.17088514,61.84,16,16,0.17716263,1,1,267.2672,45.35363322,0.169693974,143.9,,,143.9
A13,11,28.9,28.9,0.32,145,120,134.45,10.55,91,8392.3025,91.60951097,90.84,43,43,0.476124567,2,7,267.2672,880.3543253,3.293910833,148.9,,,148.9
A13,12,28.9,28.9,0.32,134,105,119.45,14.55,56,3347.7025,57.85933373,55.84,39,39,0.43183391,1,2,267.2672,656.8193772,2.457538288,133.9,,,133.9
A13,13,28.9,28.9,0.32,134,93,107.45,26.55,132,18128.9025,134.6436129,131.84,36,36,0.398615917,7,7,267.2672,516.6062284,1.93292042,121.9,,,121.9
A13,14,28.9,28.9,0.32,150,108,122.45,27.55,80,7159.0025,84.61088878,79.84,38,38,0.420761246,4,7,267.2672,607.5792388,2.273302668,136.9,,,136.9
A13,15,28.9,28.9,0.32,139,112,126.45,12.55,96,9373.5025,96.81685029,95.84,31,31,0.343252595,2,5,267.2672,329.8657439,1.234217083,140.9,,,140.9
A13,16,28.9,28.9,0.32,138,115,129.45,8.55,133,17762.1025,133.2745381,132.84,34,34,0.376470588,1,4,267.2672,435.2,1.628332994,143.9,,,143.9
A13,17,28.9,28.9,0.32,144,107,121.45,22.55,263,69677.5025,263.9649645,262.84,34,34,0.376470588,1,2,267.2672,435.2,1.628332994,135.9,,,135.9
